arch4edu,3.21G,rsync://mirrors.tuna.tsinghua.edu.cn/arch4edu/
archlinux,62.87G,rsync://mirrors.tuna.tsinghua.edu.cn/archlinux/
archlinuxarm,75.34G,rsync://mirrors.tuna.tsinghua.edu.cn/archlinuxarm/
archlinuxcn,24.72G,rsync://mirrors.tuna.tsinghua.edu.cn/archlinuxcn/
centos,169.23G,rsync://mirrors.tuna.tsinghua.edu.cn/centos/
debian,1.32T,rsync://mirrors.tuna.tsinghua.edu.cn/debian/
debian-cd,216.40G,rsync://mirrors.tuna.tsinghua.edu.cn/debian-cd/
debian-multimedia,11.87G,rsync://mirrors.tuna.tsinghua.edu.cn/debian-multimedia/
debian-nonfree,60.35G,rsync://mirrors.tuna.tsinghua.edu.cn/debian-nonfree/
debian-security,115.36G,rsync://mirrors.tuna.tsinghua.edu.cn/debian-security/
deepin,292.82G,rsync://mirrors.tuna.tsinghua.edu.cn/deepin/
deepin-cd,21.78G,rsync://mirrors.tuna.tsinghua.edu.cn/deepin-cd/
docker,1.81G,rsync://mirrors.tuna.tsinghua.edu.cn/docker/
fedora,1.26T,rsync://mirrors.tuna.tsinghua.edu.cn/fedora/
kali,347.94G,rsync://ftp.nluug.nl/kali/
kali-images,55.22G,rsync://ftp.nluug.nl/kali-images/
kali-security,1.30K,rsync://ftp.nluug.nl/kali-security/
raspbian,312.65G,rsync://archive.raspbian.org/archive/
steamos,103.82G,rsync://mirrors.tuna.tsinghua.edu.cn/steamos/
ubuntu,1.10T,rsync://archive.ubuntu.com/ubuntu/
ubuntu-cdimage,553.27G,rsync://mirrors.tuna.tsinghua.edu.cn/ubuntu-releases
